name,kind,module_type,output_shape,clean_rms,noisy_rms,residual_rms,residual_to_signal,stochastic_rms,stochastic_to_signal,bias_rms,bias_to_signal,stochastic_fraction_of_mse,clean_abs_mean,clean_abs_p95_mean,clean_abs_p99_mean,residual_abs_p95_mean,clean_abs_gt_5_frac,clean_abs_gt_8_frac,clean_abs_gt_10_frac,clean_numel,noisy_numel,nonfinite_outputs
features.3.0.block.0.0,pointwise,NoisyConv2d,4x144x56x56,10.295048751961891,5.233238842367862,10.082535421596214,0.979357715005946,0.78082336448516,0.07584455239576804,10.05225523955776,0.9764164776434047,0.005997442425910259,7.526637070843963,20.989924907684326,32.78814506530762,20.438013553619385,0.5462610499929138,0.3521734051693594,0.2611522717811083,7225344,28901376,0
features.3.0.block.1.0,depthwise,NoisyConv2d,4x144x28x28,1.8278574132310115,1.0970089478837985,1.3501678495726381,0.7386614731539778,0.10660034601755113,0.058319836791382466,1.3459530408779277,0.7363555992580155,0.006233639806989757,0.8895867103351758,3.801985204219818,7.995175004005432,2.7737110257148743,0.02970488325538549,0.00998429970946712,0.005174009708049886,1806336,7225344,0
features.3.0.block.2.fc1,pointwise,NoisyConv2d,4x6x1x1,4.591754055864705,3.38291533962098,2.0816070907085944,0.4533359290116841,0.33711160897499104,0.07341673897895806,2.054128487505733,0.44735159211808134,0.02622707750343987,3.977226893107096,8.905134677886963,10.87813401222229,4.3157076090574265,0.15625,0.09375,0.041666666666666664,96,384,0
features.3.0.block.2.fc2,pointwise,NoisyConv2d,4x144x1x1,2.35343005603867,2.61894293220824,1.0030230518215772,0.42619624460387884,0.14483748508804328,0.06154314410849158,0.9925106273480607,0.42172939229758544,0.020851635378195576,2.1219458050198026,4.183431804180145,4.647393465042114,1.9428191110491753,0.002170138888888889,0.0,0.0,2304,9216,0
features.3.0.block.3.0,pointwise,NoisyConv2d,4x40x28x28,4.6633229605891175,3.5844437964068856,2.988808060139752,0.6409180932564396,0.30607706409303886,0.06563497031618247,2.973094423524509,0.6375484710475463,0.01048734420868883,3.61040780203683,9.483009815216064,12.450266122817993,6.13838517665863,0.26481385522959183,0.09575693558673469,0.038311144770408166,501760,2007040,0
features.3.1.block.0.0,pointwise,NoisyConv2d,4x240x28x28,5.405607229985587,3.106462636569823,5.893118117417411,1.0901861468453609,0.5637333495552252,0.10428677585528691,5.866092895312226,1.0851866674242012,0.009150759971122214,4.148025201291454,10.747682571411133,15.722657680511475,11.733804404735565,0.3186772560586735,0.12555238892431972,0.0643455038265306,3010560,12042240,0
features.3.1.block.1.0,depthwise,NoisyConv2d,4x240x28x28,0.8934846543953848,0.5474042443531014,0.7300097468188222,0.8170366924911711,0.08249238465248947,0.09232658249548956,0.7253338796201557,0.81180339925478,0.012769397281626182,0.4562589580509938,1.9998292028903961,3.713995635509491,1.4854828119277954,0.0028300382653061226,0.0003384752338435374,5.447491496598639e-05,3010560,12042240,0
features.3.1.block.2.fc1,pointwise,NoisyConv2d,4x10x1x1,1.880855128520161,2.4855997869197433,1.6225428417174748,0.8626623162593475,0.21164445705565887,0.11252565593511646,1.608680172379281,0.8552919084443125,0.0170145885806299,1.7178926467895508,2.7828980684280396,3.4162734746932983,3.021729588508606,0.00625,0.0,0.0,160,640,0
features.3.1.block.2.fc2,pointwise,NoisyConv2d,4x240x1x1,1.218865661349549,1.269396132883813,0.7398635243959165,0.6070099009736044,0.11069835458433573,0.09082080010504899,0.7315353094853779,0.6001771423073888,0.022386133910197448,0.9534193356831868,2.4536280035972595,3.208858013153076,1.3687118962407112,0.00026041666666666666,0.0,0.0,3840,15360,0
features.3.1.block.3.0,pointwise,NoisyConv2d,4x40x28x28,0.6088258577551131,0.5500782955118297,0.6220694317690919,1.0217526470751603,0.1505653911445955,0.24730452760296054,0.6035730618003058,0.9913722522000369,0.058583132722244,0.4775859209955955,1.2018724977970123,1.643183708190918,1.2370277643203735,0.0,0.0,0.0,501760,2007040,0
features.4.0.block.0.0,pointwise,NoisyConv2d,4x240x28x28,9.165233514088559,4.13945059193831,9.619423687250185,1.0495557666330548,0.9646708764864296,0.10525327859934638,9.570931102817992,1.0442648393088736,0.010056809586460557,6.954675209927721,18.493048667907715,27.30039119720459,19.47724425792694,0.5366649394132653,0.3341491284013605,0.2369585724914966,3010560,12042240,0
features.4.0.block.1.0,depthwise,NoisyConv2d,4x240x14x14,1.0009808459496452,0.7069834277610098,0.7414861922375168,0.7407596211634379,0.06892812388334657,0.06886058226014649,0.7382754817930863,0.737552056845477,0.008641453143636811,0.527333048087399,2.237351894378662,4.478922009468079,1.5907797738909721,0.006502444727891157,0.0005633503401360544,9.034863945578231e-05,752640,3010560,0
features.4.0.block.2.fc1,pointwise,NoisyConv2d,4x10x1x1,3.3480520933558093,1.9166010997448615,1.7964416379380255,0.536563227765498,1.2083637935263079,0.3609154696022499,1.3293079030127544,0.3970391935211398,0.45244853120594464,3.2712376594543455,4.427321672439575,4.844487309455872,2.613083451986313,0.0125,0.0,0.0,160,640,0
features.4.0.block.2.fc2,pointwise,NoisyConv2d,4x240x1x1,1.6730266466802362,1.6696718572357054,0.05837962949161653,0.03489462024257559,0.01494389557757615,0.008932251980103913,0.056434573840376624,0.03373202330779308,0.06552469070382914,1.4583006858825684,2.821121573448181,3.1799543499946594,0.1225293418392539,0.0,0.0,0.0,3840,15360,0
features.4.0.block.3.0,pointwise,NoisyConv2d,4x80x14x14,2.5655415311809486,2.258544172324341,1.4821503341932676,0.577714418644011,0.2435349037529284,0.09492534063201326,1.462005596365235,0.5698623774343099,0.026998392999857807,1.9636820579061702,5.343005537986755,7.959688186645508,2.959020957350731,0.05955436862244898,0.009761639030612244,0.0007095025510204082,250880,1003520,0
features.4.1.block.0.0,pointwise,NoisyConv2d,4x480x14x14,4.712848447539666,3.022525924844718,5.4079529157822375,1.147491368750771,0.8955754209816271,0.19002847873225387,5.333282235607936,1.1316473031065037,0.027424487995536474,3.689176266209609,9.30647349357605,12.964137077331543,10.748484671115875,0.2718384619472789,0.08697119472789115,0.03701703337585034,1505280,6021120,0
features.4.1.block.1.0,depthwise,NoisyConv2d,4x480x14x14,0.4241794182325531,0.32833369482506514,0.3455444004398222,0.8146184977093351,0.06108187076391534,0.14400008142410076,0.34010283406536995,0.8017900431909009,0.031247619699632082,0.22960180684822756,0.934111014008522,1.729773759841919,0.7448812797665596,3.188775510204082e-05,0.0,0.0,1505280,6021120,0
features.4.1.block.2.fc1,pointwise,NoisyConv2d,4x20x1x1,2.5576943344011105,2.292932710900503,1.7710093541644103,0.6924241612237437,0.32389940981183524,0.12663726288766128,1.7411385082357425,0.6807453434983792,0.03344865069605015,2.257421541213989,4.113029420375824,4.976021766662598,3.4785228818655014,0.0125,0.0,0.0,320,1280,0
features.4.1.block.2.fc2,pointwise,NoisyConv2d,4x480x1x1,1.8886016359256896,1.636489568064605,0.9329356769830095,0.493982245507129,0.17481277892259786,0.09256201816054986,0.9164111903032968,0.48523265725867165,0.035110979904591576,1.4414377848307292,3.910264790058136,5.065977931022644,1.8852930292487144,0.011458333333333333,0.0,0.0,7680,30720,0
features.4.1.block.3.0,pointwise,NoisyConv2d,4x80x14x14,0.3185528619159016,0.3067263351648356,0.34229515301190605,1.0745317149348745,0.1339043286498449,0.42035198756178754,0.31501682898581546,0.988899698126022,0.153033930922626,0.2501337674199318,0.627146303653717,0.8743879050016403,0.6726170480251312,0.0,0.0,0.0,250880,1003520,0
features.4.2.block.0.0,pointwise,NoisyConv2d,4x480x14x14,5.013371324106748,3.2971398013035365,5.833474672197456,1.1635832048081596,0.9714827813588747,0.19377834166950872,5.75201251360708,1.1473342271593934,0.027734196093807183,3.87253110716943,9.9508216381073,14.241952896118164,11.604928255081177,0.29050143494897956,0.1036850286989796,0.049170254039115645,1505280,6021120,0
